No.,Motion user did
1,Open Image
2,Rotate 90¢X
3,Rotate 90¢X
4,Rotate 90¢X
5,Rotate 90¢X
6,Mirror
7,Rotate 90¢X
8,Rotate 90¢X
9,Rotate 90¢X
10,Rotate 90¢X
11,Mirror
12,Apply Filter : Invert
13,Rotate 90¢X
14,Mirror
15,Rotate 90¢X
16,Rotate 90¢X
17,Mirror
18,Rotate 90¢X
19,Rotate 90¢X
20,Rotate 90¢X
21,Rotate 90¢X
22,Rotate 90¢X
23,Mirror
24,Mirror
25,Apply Filter : Invert
26,Cut(300 * 350)
27,Make Larger
28,Apply Filter : Edge Detection
29,Make Smaller
30,Apply Filter : Display Only Blue
31,Close Image
